Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2004/1 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;'MICROZ. N.   9 - VOMERO - P.ZZA MEDAGLIA   D`ORO - STADIO COLLANA - C.SO VITTORIO EMANUELE';B1;NA00000013;20;Abitazioni civili;N;9;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;' MICROZ. N. 26 - P.ZZA MAZZINI - CORSO VITTORIO EMANUELE';B2;NA00000014;20;Abitazioni civili;N;26;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;' MICROZ. N. 31 - P.ZZA VANVITELLI - S. MARTINO - FLORIDIANA';B3;NA00002517;20;Abitazioni civili;N;31;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;' MICROZ. N. 32 - VIA ROMA - P.ZZA DANTE - C.SO VITTORIO EMANUELE - PORTO';B4;NA00002518;20;Abitazioni civili;N;32;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;' MICROZ. N. 32 - MONTE DI DIO EST - DAI QUARTIERI A S. ROSA';B5;NA00002519;20;Abitazioni civili;N;32;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;' MICROZ. N. 32 - POSILL.- MERG. - CARACC. - MANZ. - CRISPI - MILLE';B6;NA00003243;20;Abitazioni civili;N;32;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;' MICROZ. N. 32 - MONTE DI DIO - CHIAIA (DEGRAD.)';B7;NA00003244;20;Abitazioni civili;S;32;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;' MICROZ. N.   9 - FUORIGROTTA - VOMERO ALTO - COLLI AMINEI';C1;NA00000015;20;Abitazioni civili;N;9;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;' MICROZ. N. 26 - VIA S. ROSA - MONTESANTO - S. TERESA';C10;NA00002527;20;Abitazioni civili;N;26;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;' MICROZ. N. 28 - P.ZZA BELLINI - VIA COSTANTINOPOLI - VIA TRIBUNALI';C11;NA00002528;20;Abitazioni civili;N;28;
