Quotazioni Immobiliari : Valori di Mercato - Semestre 2012/1 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;20;Abitazioni civili;NORMALE;P;3300;5100;L;8,3;12,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;21;Abitazioni di tipo economico;NORMALE;P;2400;3700;L;6;9,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;19;Abitazioni signorili;NORMALE;P;4000;6100;L;10;15,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;16;Autorimesse;NORMALE;P;1950;3000;L;6,5;10;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;13;Box;NORMALE;P;2750;4200;L;9,2;14;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;14;Posti auto coperti;NORMALE;P;1700;2550;L;5,7;8,5;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;15;Posti auto scoperti;NORMALE;P;1200;1800;L;4;6;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;1;Ville e Villini;NORMALE;P;3800;5700;L;9,5;14,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;9;Magazzini;NORMALE;P;1000;2000;L;3;5,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;5;Negozi;OTTIMO; ;4800;9600;L;18;36;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;5;Negozi;NORMALE;P;3000;6000;L;10;20;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;6;Uffici;NORMALE;P;3300;5100;L;8,3;12,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;18;Uffici strutturati;NORMALE;P;3700;5600;L;10,8;16,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B1;NA00000013;10;Laboratori;NORMALE;P;1900;3800;L;5,6;11;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;20;Abitazioni civili;NORMALE;P;2500;3800;L;6,3;9,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;21;Abitazioni di tipo economico;NORMALE;P;1750;2650;L;5,2;7,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;19;Abitazioni signorili;NORMALE;P;3100;4700;L;7,8;11,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;16;Autorimesse;NORMALE;P;1450;2200;L;4,9;7,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;13;Box;NORMALE;P;2100;3200;L;7;10,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;14;Posti auto coperti;NORMALE;P;1250;1900;L;4,2;6,3;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;15;Posti auto scoperti;NORMALE;P;900;1350;L;3;4,5;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;9;Magazzini;NORMALE;P;750;1500;L;2,2;4,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;5;Negozi;OTTIMO; ;3800;7600;L;14,3;28,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;5;Negozi;NORMALE;P;2150;4300;L;7,2;14,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;6;Uffici;NORMALE;P;2500;3800;L;6,3;9,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;18;Uffici strutturati;NORMALE;P;2750;4200;L;8,1;12,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B2;NA00000014;10;Laboratori;NORMALE;P;1350;2700;L;4;7,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;20;Abitazioni civili;NORMALE;P;3800;5800;L;9,5;14,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;21;Abitazioni di tipo economico;NORMALE;P;2700;4100;L;6,8;10,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;19;Abitazioni signorili;NORMALE;P;4800;7200;L;10,8;16,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;16;Autorimesse;NORMALE;P;2250;3400;L;7,5;11,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;13;Box;NORMALE;P;3100;4700;L;10,4;15,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;14;Posti auto coperti;NORMALE;P;1950;2950;L;6,5;9,8;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;15;Posti auto scoperti;NORMALE;P;1400;2100;L;4,7;7;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;1;Ville e Villini;NORMALE;P;4500;6800;L;11,3;17;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;9;Magazzini;NORMALE;P;1200;2400;L;3,5;7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;5;Negozi;OTTIMO; ;6800;13600;L;25,5;51;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;5;Negozi;NORMALE;P;3800;7600;L;12,7;25,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;6;Uffici;NORMALE;P;3800;5800;L;9,5;14,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;18;Uffici strutturati;NORMALE;P;4200;6400;L;12,3;18,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B3;NA00002517;10;Laboratori;NORMALE;P;2200;4400;L;6,5;12,8;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;20;Abitazioni civili;NORMALE;P;3700;5600;L;9,3;14;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;21;Abitazioni di tipo economico;NORMALE;P;2600;3900;L;6,5;9,7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;19;Abitazioni signorili;NORMALE;P;4500;6800;L;10,2;15,3;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;16;Autorimesse;NORMALE;P;2100;3200;L;7;10,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;13;Box;NORMALE;P;2900;4400;L;9,7;14,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;14;Posti auto coperti;NORMALE;P;1800;2700;L;6;9;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;15;Posti auto scoperti;NORMALE;P;1300;1950;L;4,4;6,5;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B4;NA00002518;9;Magazzini;NORMALE;P;1200;2400;L;3,5;7;N;
